"grade","prob","oper","op1","op2","op1type","op2type","opTypes","opSubTypes","op1val","op2val"
"1","7-5","-","7","5","whole","whole","whole","SD_whole",7,5
"1","4-1","-","4","1","whole","whole","whole","SD_whole",4,1
"1","8-7","-","8","7","whole","whole","whole","SD_whole",8,7
"1","5-2","-","5","2","whole","whole","whole","SD_whole",5,2
"1","5-3","-","5","3","whole","whole","whole","SD_whole",5,3
"1","1+4","+","1","4","whole","whole","whole","SD_whole",1,4
"1","10-7","-","10","7","whole","whole","whole","MD_whole",10,7
"1","8-2","-","8","2","whole","whole","whole","SD_whole",8,2
"1","7-3","-","7","3","whole","whole","whole","SD_whole",7,3
"1","10-3","-","10","3","whole","whole","whole","MD_whole",10,3
"1","7-4","-","7","4","whole","whole","whole","SD_whole",7,4
"1","5-3","-","5","3","whole","whole","whole","SD_whole",5,3
"1","8-6","-","8","6","whole","whole","whole","SD_whole",8,6
"1","4+3","+","4","3","whole","whole","whole","SD_whole",4,3
"1","5+1","+","5","1","whole","whole","whole","SD_whole",5,1
"1","4+5","+","4","5","whole","whole","whole","SD_whole",4,5
"1","9-3","-","9","3","whole","whole","whole","SD_whole",9,3
"1","5+2","+","5","2","whole","whole","whole","SD_whole",5,2
"1","3-0","-","3","0","whole","whole","whole","SD_whole",3,0
"1","8-0","-","8","0","whole","whole","whole","SD_whole",8,0
"1","8-8","-","8","8","whole","whole","whole","SD_whole",8,8
"1","5-5","-","5","5","whole","whole","whole","SD_whole",5,5
"1","0-0","-","0","0","whole","whole","whole","SD_whole",0,0
"1","5-0","-","5","0","whole","whole","whole","SD_whole",5,0
"1","1-0","-","1","0","whole","whole","whole","SD_whole",1,0
"1","6-6","-","6","6","whole","whole","whole","SD_whole",6,6
"1","4-0","-","4","0","whole","whole","whole","SD_whole",4,0
"1","6-6","-","6","6","whole","whole","whole","SD_whole",6,6
"1","6+4","+","6","4","whole","whole","whole","SD_whole",6,4
"1","2-1","-","2","1","whole","whole","whole","SD_whole",2,1
"1","3-3","-","3","3","whole","whole","whole","SD_whole",3,3
"1","5-4","-","5","4","whole","whole","whole","SD_whole",5,4
"1","7-3","-","7","3","whole","whole","whole","SD_whole",7,3
"1","6-2","-","6","2","whole","whole","whole","SD_whole",6,2
"1","10-7","-","10","7","whole","whole","whole","MD_whole",10,7
"1","9-9","-","9","9","whole","whole","whole","SD_whole",9,9
"1","8-2","-","8","2","whole","whole","whole","SD_whole",8,2
"1","7-4","-","7","4","whole","whole","whole","SD_whole",7,4
"1","6-3","-","6","3","whole","whole","whole","SD_whole",6,3
"1","8-0","-","8","0","whole","whole","whole","SD_whole",8,0
"1","9-4","-","9","4","whole","whole","whole","SD_whole",9,4
"1","5-1","-","5","1","whole","whole","whole","SD_whole",5,1
"1","3-2","-","3","2","whole","whole","whole","SD_whole",3,2
"1","8-3","-","8","3","whole","whole","whole","SD_whole",8,3
"1","6-4","-","6","4","whole","whole","whole","SD_whole",6,4
"1","7-0","-","7","0","whole","whole","whole","SD_whole",7,0
"1","5-3","-","5","3","whole","whole","whole","SD_whole",5,3
"1","4-4","-","4","4","whole","whole","whole","SD_whole",4,4
"1","8-1","-","8","1","whole","whole","whole","SD_whole",8,1
"1","4-0","-","4","0","whole","whole","whole","SD_whole",4,0
"1","6-1","-","6","1","whole","whole","whole","SD_whole",6,1
"1","8+9","+","8","9","whole","whole","whole","SD_whole",8,9
"1","6+7","+","6","7","whole","whole","whole","SD_whole",6,7
"1","7+5","+","7","5","whole","whole","whole","SD_whole",7,5
"1","2+8","+","2","8","whole","whole","whole","SD_whole",2,8
"1","9+2","+","9","2","whole","whole","whole","SD_whole",9,2
"1","8+4","+","8","4","whole","whole","whole","SD_whole",8,4
"1","9+6","+","9","6","whole","whole","whole","SD_whole",9,6
"1","0+6","+","0","6","whole","whole","whole","SD_whole",0,6
"1","8+3","+","8","3","whole","whole","whole","SD_whole",8,3
"1","5+9","+","5","9","whole","whole","whole","SD_whole",5,9
"1","4+5","+","4","5","whole","whole","whole","SD_whole",4,5
"1","8+5","+","8","5","whole","whole","whole","SD_whole",8,5
"1","7+3","+","7","3","whole","whole","whole","SD_whole",7,3
"1","4+7","+","4","7","whole","whole","whole","SD_whole",4,7
"1","9+8","+","9","8","whole","whole","whole","SD_whole",9,8
"1","6+7","+","6","7","whole","whole","whole","SD_whole",6,7
"1","8+6","+","8","6","whole","whole","whole","SD_whole",8,6
"1","4+3","+","4","3","whole","whole","whole","SD_whole",4,3
"1","6+3","+","6","3","whole","whole","whole","SD_whole",6,3
"1","1+6","+","1","6","whole","whole","whole","SD_whole",1,6
"1","7+1","+","7","1","whole","whole","whole","SD_whole",7,1
"1","2+7","+","2","7","whole","whole","whole","SD_whole",2,7
"1","7+3","+","7","3","whole","whole","whole","SD_whole",7,3
"1","1+9","+","1","9","whole","whole","whole","SD_whole",1,9
"1","8+3","+","8","3","whole","whole","whole","SD_whole",8,3
"1","1+8","+","1","8","whole","whole","whole","SD_whole",1,8
"1","1+6","+","1","6","whole","whole","whole","SD_whole",1,6
"1","9+3","+","9","3","whole","whole","whole","SD_whole",9,3
"1","7+2","+","7","2","whole","whole","whole","SD_whole",7,2
"1","2+6","+","2","6","whole","whole","whole","SD_whole",2,6
"1","5+3","+","5","3","whole","whole","whole","SD_whole",5,3
"1","7+1","+","7","1","whole","whole","whole","SD_whole",7,1
"1","3+7","+","3","7","whole","whole","whole","SD_whole",3,7
"1","9+2","+","9","2","whole","whole","whole","SD_whole",9,2
"1","3+4","+","3","4","whole","whole","whole","SD_whole",3,4
"1","8+2","+","8","2","whole","whole","whole","SD_whole",8,2
"1","1+7","+","1","7","whole","whole","whole","SD_whole",1,7
"1","3+9","+","3","9","whole","whole","whole","SD_whole",3,9
"1","5+3","+","5","3","whole","whole","whole","SD_whole",5,3
"1","5+2","+","5","2","whole","whole","whole","SD_whole",5,2
"1","1+9","+","1","9","whole","whole","whole","SD_whole",1,9
"1","4+2","+","4","2","whole","whole","whole","SD_whole",4,2
"1","3+3","+","3","3","whole","whole","whole","SD_whole",3,3
"1","4+4","+","4","4","whole","whole","whole","SD_whole",4,4
"1","5+5","+","5","5","whole","whole","whole","SD_whole",5,5
"1","6+6","+","6","6","whole","whole","whole","SD_whole",6,6
"1","7+7","+","7","7","whole","whole","whole","SD_whole",7,7
"1","8+8","+","8","8","whole","whole","whole","SD_whole",8,8
"1","5+5","+","5","5","whole","whole","whole","SD_whole",5,5
"1","7+7","+","7","7","whole","whole","whole","SD_whole",7,7
"1","6+6","+","6","6","whole","whole","whole","SD_whole",6,6
"1","10+10","+","10","10","whole","whole","whole","MD_whole",10,10
"1","4+4","+","4","4","whole","whole","whole","SD_whole",4,4
"1","8+8","+","8","8","whole","whole","whole","SD_whole",8,8
"1","4+4","+","4","4","whole","whole","whole","SD_whole",4,4
"1","6+6","+","6","6","whole","whole","whole","SD_whole",6,6
"1","3+3","+","3","3","whole","whole","whole","SD_whole",3,3
"1","8+8","+","8","8","whole","whole","whole","SD_whole",8,8
"1","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"1","6+5","+","6","5","whole","whole","whole","SD_whole",6,5
"1","7+6","+","7","6","whole","whole","whole","SD_whole",7,6
"1","7+8","+","7","8","whole","whole","whole","SD_whole",7,8
"1","8-6","-","8","6","whole","whole","whole","SD_whole",8,6
"1","2+2","+","2","2","whole","whole","whole","SD_whole",2,2
"1","2+3","+","2","3","whole","whole","whole","SD_whole",2,3
"1","2+1","+","2","1","whole","whole","whole","SD_whole",2,1
"1","3+3","+","3","3","whole","whole","whole","SD_whole",3,3
"1","3+4","+","3","4","whole","whole","whole","SD_whole",3,4
"1","3+2","+","3","2","whole","whole","whole","SD_whole",3,2
"1","4+4","+","4","4","whole","whole","whole","SD_whole",4,4
"1","4+5","+","4","5","whole","whole","whole","SD_whole",4,5
"1","4+3","+","4","3","whole","whole","whole","SD_whole",4,3
"1","8+9","+","8","9","whole","whole","whole","SD_whole",8,9
"1","2+3","+","2","3","whole","whole","whole","SD_whole",2,3
"1","7+6","+","7","6","whole","whole","whole","SD_whole",7,6
"1","6+5","+","6","5","whole","whole","whole","SD_whole",6,5
"1","3+4","+","3","4","whole","whole","whole","SD_whole",3,4
"1","4+5","+","4","5","whole","whole","whole","SD_whole",4,5
"1","6+6","+","6","6","whole","whole","whole","SD_whole",6,6
"1","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"1","6+7","+","6","7","whole","whole","whole","SD_whole",6,7
"1","4+3","+","4","3","whole","whole","whole","SD_whole",4,3
"1","2+1","+","2","1","whole","whole","whole","SD_whole",2,1
"1","8+9","+","8","9","whole","whole","whole","SD_whole",8,9
"1","3+2","+","3","2","whole","whole","whole","SD_whole",3,2
"1","2+1","+","2","1","whole","whole","whole","SD_whole",2,1
"1","9+2","+","9","2","whole","whole","whole","SD_whole",9,2
"1","5+6","+","5","6","whole","whole","whole","SD_whole",5,6
"1","9+3","+","9","3","whole","whole","whole","SD_whole",9,3
"1","5+4","+","5","4","whole","whole","whole","SD_whole",5,4
"1","4+1","+","4","1","whole","whole","whole","SD_whole",4,1
"1","5+1","+","5","1","whole","whole","whole","SD_whole",5,1
"1","6+1","+","6","1","whole","whole","whole","SD_whole",6,1
"1","7+1","+","7","1","whole","whole","whole","SD_whole",7,1
"1","5+2","+","5","2","whole","whole","whole","SD_whole",5,2
"1","6+2","+","6","2","whole","whole","whole","SD_whole",6,2
"1","7+2","+","7","2","whole","whole","whole","SD_whole",7,2
"1","8+2","+","8","2","whole","whole","whole","SD_whole",8,2
"1","6+3","+","6","3","whole","whole","whole","SD_whole",6,3
"1","7+3","+","7","3","whole","whole","whole","SD_whole",7,3
"1","8+3","+","8","3","whole","whole","whole","SD_whole",8,3
"1","9+3","+","9","3","whole","whole","whole","SD_whole",9,3
"1","7+7","+","7","7","whole","whole","whole","SD_whole",7,7
"1","8+8","+","8","8","whole","whole","whole","SD_whole",8,8
"1","9+9","+","9","9","whole","whole","whole","SD_whole",9,9
"1","10+10","+","10","10","whole","whole","whole","MD_whole",10,10
"1","5+6","+","5","6","whole","whole","whole","SD_whole",5,6
"1","6+7","+","6","7","whole","whole","whole","SD_whole",6,7
"1","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"1","9+8","+","9","8","whole","whole","whole","SD_whole",9,8
"1","9+9","+","9","9","whole","whole","whole","SD_whole",9,9
"1","7+1","+","7","1","whole","whole","whole","SD_whole",7,1
"1","5+3","+","5","3","whole","whole","whole","SD_whole",5,3
"1","2+9","+","2","9","whole","whole","whole","SD_whole",2,9
"1","7+3","+","7","3","whole","whole","whole","SD_whole",7,3
"1","7+7","+","7","7","whole","whole","whole","SD_whole",7,7
"1","6+5","+","6","5","whole","whole","whole","SD_whole",6,5
"1","2+8","+","2","8","whole","whole","whole","SD_whole",2,8
"1","8+8","+","8","8","whole","whole","whole","SD_whole",8,8
"1","8+9","+","8","9","whole","whole","whole","SD_whole",8,9
"1","9+3","+","9","3","whole","whole","whole","SD_whole",9,3
"1","7+8","+","7","8","whole","whole","whole","SD_whole",7,8
"1","8+4","+","8","4","whole","whole","whole","SD_whole",8,4
"1","7+9","+","7","9","whole","whole","whole","SD_whole",7,9
"1","1+8","+","1","8","whole","whole","whole","SD_whole",1,8
"1","3+7","+","3","7","whole","whole","whole","SD_whole",3,7
"1","9+2","+","9","2","whole","whole","whole","SD_whole",9,2
"1","6+3","+","6","3","whole","whole","whole","SD_whole",6,3
"1","7+1","+","7","1","whole","whole","whole","SD_whole",7,1
"1","2+8","+","2","8","whole","whole","whole","SD_whole",2,8
"1","7+8","+","7","8","whole","whole","whole","SD_whole",7,8
"1","6+7","+","6","7","whole","whole","whole","SD_whole",6,7
"1","9+8","+","9","8","whole","whole","whole","SD_whole",9,8
"1","8+8","+","8","8","whole","whole","whole","SD_whole",8,8
"1","8+1","+","8","1","whole","whole","whole","SD_whole",8,1
"1","1+7","+","1","7","whole","whole","whole","SD_whole",1,7
"1","8+3","+","8","3","whole","whole","whole","SD_whole",8,3
"1","5+5","+","5","5","whole","whole","whole","SD_whole",5,5
"1","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"1","8+9","+","8","9","whole","whole","whole","SD_whole",8,9
"1","6+3","+","6","3","whole","whole","whole","SD_whole",6,3
"1","6+6","+","6","6","whole","whole","whole","SD_whole",6,6
"1","9+9","+","9","9","whole","whole","whole","SD_whole",9,9
"1","10+3","+","10","3","whole","whole","whole","MD_whole",10,3
"1","10+5","+","10","5","whole","whole","whole","MD_whole",10,5
"1","10+1","+","10","1","whole","whole","whole","MD_whole",10,1
"1","10+2","+","10","2","whole","whole","whole","MD_whole",10,2
"1","10+4","+","10","4","whole","whole","whole","MD_whole",10,4
"1","10+7","+","10","7","whole","whole","whole","MD_whole",10,7
"1","10+8","+","10","8","whole","whole","whole","MD_whole",10,8
"1","10+2","+","10","2","whole","whole","whole","MD_whole",10,2
"1","10+6","+","10","6","whole","whole","whole","MD_whole",10,6
"1","10+9","+","10","9","whole","whole","whole","MD_whole",10,9
"1","10+1","+","10","1","whole","whole","whole","MD_whole",10,1
"1","4+10","+","4","10","whole","whole","whole","MD_whole",4,10
"1","5+10","+","5","10","whole","whole","whole","MD_whole",5,10
"1","10+3","+","10","3","whole","whole","whole","MD_whole",10,3
"1","0+10","+","0","10","whole","whole","whole","MD_whole",0,10
"1","10+7","+","10","7","whole","whole","whole","MD_whole",10,7
"1","10+5","+","10","5","whole","whole","whole","MD_whole",10,5
"1","10+3","+","10","3","whole","whole","whole","MD_whole",10,3
"1","4+6","+","4","6","whole","whole","whole","SD_whole",4,6
"1","6+7","+","6","7","whole","whole","whole","SD_whole",6,7
"1","5-5","-","5","5","whole","whole","whole","SD_whole",5,5
"1","8-2","-","8","2","whole","whole","whole","SD_whole",8,2
"1","3+7","+","3","7","whole","whole","whole","SD_whole",3,7
"1","4+2","+","4","2","whole","whole","whole","SD_whole",4,2
"1","2+4","+","2","4","whole","whole","whole","SD_whole",2,4
"1","5-1","-","5","1","whole","whole","whole","SD_whole",5,1
"1","5-2","-","5","2","whole","whole","whole","SD_whole",5,2
"1","6-1","-","6","1","whole","whole","whole","SD_whole",6,1
"1","6-3","-","6","3","whole","whole","whole","SD_whole",6,3
"1","7-2","-","7","2","whole","whole","whole","SD_whole",7,2
"1","7-3","-","7","3","whole","whole","whole","SD_whole",7,3
"1","10-1","-","10","1","whole","whole","whole","MD_whole",10,1
"1","10-2","-","10","2","whole","whole","whole","MD_whole",10,2
"1","12-3","-","12","3","whole","whole","whole","MD_whole",12,3
"1","8-2","-","8","2","whole","whole","whole","SD_whole",8,2
"1","4-3","-","4","3","whole","whole","whole","SD_whole",4,3
"1","9-1","-","9","1","whole","whole","whole","SD_whole",9,1
"1","9-3","-","9","3","whole","whole","whole","SD_whole",9,3
"1","5-3","-","5","3","whole","whole","whole","SD_whole",5,3
"1","6-3","-","6","3","whole","whole","whole","SD_whole",6,3
"1","7-2","-","7","2","whole","whole","whole","SD_whole",7,2
"1","10-1","-","10","1","whole","whole","whole","MD_whole",10,1
"1","8-1","-","8","1","whole","whole","whole","SD_whole",8,1
"1","5-2","-","5","2","whole","whole","whole","SD_whole",5,2
"1","8-3","-","8","3","whole","whole","whole","SD_whole",8,3
"1","11-3","-","11","3","whole","whole","whole","MD_whole",11,3
"1","9-1","-","9","1","whole","whole","whole","SD_whole",9,1
"1","7-3","-","7","3","whole","whole","whole","SD_whole",7,3
"1","8-3","-","8","3","whole","whole","whole","SD_whole",8,3
"1","4-3","-","4","3","whole","whole","whole","SD_whole",4,3
"1","9-1","-","9","1","whole","whole","whole","SD_whole",9,1
"1","7-1","-","7","1","whole","whole","whole","SD_whole",7,1
"1","6-2","-","6","2","whole","whole","whole","SD_whole",6,2
"1","6-1","-","6","1","whole","whole","whole","SD_whole",6,1
"1","5-3","-","5","3","whole","whole","whole","SD_whole",5,3
"1","11-3","-","11","3","whole","whole","whole","MD_whole",11,3
"1","5-2","-","5","2","whole","whole","whole","SD_whole",5,2
"1","10-2","-","10","2","whole","whole","whole","MD_whole",10,2
"1","10-3","-","10","3","whole","whole","whole","MD_whole",10,3
"1","9-3","-","9","3","whole","whole","whole","SD_whole",9,3
"1","4-2","-","4","2","whole","whole","whole","SD_whole",4,2
"1","7-2","-","7","2","whole","whole","whole","SD_whole",7,2
"1","10-3","-","10","3","whole","whole","whole","MD_whole",10,3
"1","7-2","-","7","2","whole","whole","whole","SD_whole",7,2
"1","12-5","-","12","5","whole","whole","whole","MD_whole",12,5
"1","12-5","-","12","5","whole","whole","whole","MD_whole",12,5
"1","16-9","-","16","9","whole","whole","whole","MD_whole",16,9
"1","14-5","-","14","5","whole","whole","whole","MD_whole",14,5
"1","10-3","-","10","3","whole","whole","whole","MD_whole",10,3
"1","8-6","-","8","6","whole","whole","whole","SD_whole",8,6
"1","7-5","-","7","5","whole","whole","whole","SD_whole",7,5
"1","10-5","-","10","5","whole","whole","whole","MD_whole",10,5
"1","8-5","-","8","5","whole","whole","whole","SD_whole",8,5
"1","11-6","-","11","6","whole","whole","whole","MD_whole",11,6
"1","13-7","-","13","7","whole","whole","whole","MD_whole",13,7
"1","11-4","-","11","4","whole","whole","whole","MD_whole",11,4
"1","14-7","-","14","7","whole","whole","whole","MD_whole",14,7
"1","9-3","-","9","3","whole","whole","whole","SD_whole",9,3
"1","11-7","-","11","7","whole","whole","whole","MD_whole",11,7
"1","12-7","-","12","7","whole","whole","whole","MD_whole",12,7
"1","7-1","-","7","1","whole","whole","whole","SD_whole",7,1
"1","7-2","-","7","2","whole","whole","whole","SD_whole",7,2
"1","12-3","-","12","3","whole","whole","whole","MD_whole",12,3
"1","9-3","-","9","3","whole","whole","whole","SD_whole",9,3
"1","6-2","-","6","2","whole","whole","whole","SD_whole",6,2
"1","8-3","-","8","3","whole","whole","whole","SD_whole",8,3
"1","11-3","-","11","3","whole","whole","whole","MD_whole",11,3
"1","5-2","-","5","2","whole","whole","whole","SD_whole",5,2
"1","6-4","-","6","4","whole","whole","whole","SD_whole",6,4
"1","14-9","-","14","9","whole","whole","whole","MD_whole",14,9
"1","9-5","-","9","5","whole","whole","whole","SD_whole",9,5
"1","13-6","-","13","6","whole","whole","whole","MD_whole",13,6
"1","15-7","-","15","7","whole","whole","whole","MD_whole",15,7
"1","13-9","-","13","9","whole","whole","whole","MD_whole",13,9
"1","11-8","-","11","8","whole","whole","whole","MD_whole",11,8
"1","4+5","+","4","5","whole","whole","whole","SD_whole",4,5
"1","7+2","+","7","2","whole","whole","whole","SD_whole",7,2
"1","12-8","-","12","8","whole","whole","whole","MD_whole",12,8
"1","11-9","-","11","9","whole","whole","whole","MD_whole",11,9
"1","14-9","-","14","9","whole","whole","whole","MD_whole",14,9
"1","11-8","-","11","8","whole","whole","whole","MD_whole",11,8
"1","12-9","-","12","9","whole","whole","whole","MD_whole",12,9
"1","12-8","-","12","8","whole","whole","whole","MD_whole",12,8
"1","15-7","-","15","7","whole","whole","whole","MD_whole",15,7
"1","14-6","-","14","6","whole","whole","whole","MD_whole",14,6
"1","16-7","-","16","7","whole","whole","whole","MD_whole",16,7
"1","13-5","-","13","5","whole","whole","whole","MD_whole",13,5
"1","12-4","-","12","4","whole","whole","whole","MD_whole",12,4
"1","8+7","+","8","7","whole","whole","whole","SD_whole",8,7
"1","18-9","-","18","9","whole","whole","whole","MD_whole",18,9
"1","13-6","-","13","6","whole","whole","whole","MD_whole",13,6
"1","12-5","-","12","5","whole","whole","whole","MD_whole",12,5
"1","13-5","-","13","5","whole","whole","whole","MD_whole",13,5
"1","10+5","+","10","5","whole","whole","whole","MD_whole",10,5
"1","8-2","-","8","2","whole","whole","whole","SD_whole",8,2
"1","12-7","-","12","7","whole","whole","whole","MD_whole",12,7
"1","13-7","-","13","7","whole","whole","whole","MD_whole",13,7
"1","1+3","+","1","3","whole","whole","whole","SD_whole",1,3
"1","3+1","+","3","1","whole","whole","whole","SD_whole",3,1
"1","6+3","+","6","3","whole","whole","whole","SD_whole",6,3
"1","7+1","+","7","1","whole","whole","whole","SD_whole",7,1
"1","8+2","+","8","2","whole","whole","whole","SD_whole",8,2
"1","11-2","-","11","2","whole","whole","whole","MD_whole",11,2
"1","8-3","-","8","3","whole","whole","whole","SD_whole",8,3
"1","9-1","-","9","1","whole","whole","whole","SD_whole",9,1
"1","11-3","-","11","3","whole","whole","whole","MD_whole",11,3
"1","7+8","+","7","8","whole","whole","whole","SD_whole",7,8
"1","15-7","-","15","7","whole","whole","whole","MD_whole",15,7
"1","9+5","+","9","5","whole","whole","whole","SD_whole",9,5
"1","6+7","+","6","7","whole","whole","whole","SD_whole",6,7
"1","13-6","-","13","6","whole","whole","whole","MD_whole",13,6
"1","8+5","+","8","5","whole","whole","whole","SD_whole",8,5
"1","8+9","+","8","9","whole","whole","whole","SD_whole",8,9
"1","8+4","+","8","4","whole","whole","whole","SD_whole",8,4
