grade,prob
6,53+30
6,48+20
6,67+25
6,80-30
6,60-20
6,34+40
6,40+20
6,60-30
6,13-7
6,11-8
6,13-5
6,18-9
6,15-8
6,11-7
6,12-7
6,14-6
6,12-9
6,11-5
6,14-7
6,15-9
6,14-9
6,12-4
6,16-7
6,15-6
6,13-5
6,18-9
6,12-5
6,14-6
6,13-6
6,16-8
6,14-6
6,11-3
6,13-9
6,12-3
6,13-5
6,11-2
6,12-5
6,15-8
6,13-7
6,11-8
6,12-7
6,12-9
6,13-9
6,14-9
6,15-9
6,18-9
6,17-8
6,16-7
6,15-6
6,12-9
6,15-8
6,15-9
6,13-5
6,14-7
6,12-7
6,16-7
6,11-5
6,13-6
6,12-9
6,16-9
6,11-9
6,12-8
6,13-6
6,12-3
6,15-7
6,13-7
6,13-5
6,15-6
6,12-8
6,14-8
6,14-6
6,12-7
6,13-7
6,15-8
6,12-6
6,13-8
6,18-9
6,30+5
6,26+5
6,37+8
6,28+6
6,23+9
6,48+5
6,18+5
6,33+9
6,27+9
6,49+4
6,62+9
6,27+7
6,28+5
6,17+8
6,57+6
6,23+9
6,39+7
6,26+5
6,13+8
6,18+7
6,26+7
6,15+8
6,35+54
6,43+29
6,56+38
6,14+23
6,37+45
6,18+21
6,33+49
6,27+12
6,17+35
6,39+46
6,26+32
6,58+24
6,34+9
6,27+24
6,35+23
6,59+6
6,38+17
6,58+26
6,42+37
6,53+38
6,34+28
6,43+27
6,13-5
6,42+29
6,31+14
6,27+45
6,48+7
6,35+42
6,73+20
6,33+27
6,52+5
6,36+58
6,64+25
6,35+38
6,38+52
6,47+25
6,33+18
6,28+64
6,13+65
6,17+26
6,36+53
6,58+25
6,37+49
6,21+37
6,38+52
6,38+94
6,45+52
6,83+76
6,56+35
6,63+51
6,74+49
6,52+37
6,88+21
6,74+67
6,93+54
6,92+78
6,56+16
6,31+45
6,43+72
6,37+8
6,55+7
6,27+36
6,28+57
6,67+31
6,71+19
6,58+17
6,44+86
6,36+13
6,49+72
6,58+87
6,32+59
6,56+35
6,74+15
6,11-6
6,28+45
6,25+8
6,37+10
6,25+45
6,38+29
6,20+45
6,63+9
6,15+36
6,74+18
6,27+54
6,34+30
6,26+17
6,48+38
6,50+32
6,61+38
6,37+43
6,79+17
6,45+40
6,21+52
6,17+76
6,68+29
6,27+19
6,36+23
6,31+29
6,48+23
6,53+12
6,69+13
6,24+38
6,46+37
6,39+17
6,28+16
6,60+4
6,15-9
6,52+27
6,14-6
6,16-7
6,12-6
6,41-9
6,53-6
6,44-7
6,52-8
6,75-7
6,86-8
6,82-5
6,83-7
6,72-7
6,76-9
6,85-8
6,71-6
6,36-7
6,35-8
6,37-9
6,41-6
6,44-5
6,33-7
6,32-4
6,31-6
6,58-9
6,14-6
6,64+7
6,56+18
6,72-17
6,46-17
6,44-16
6,57-15
6,63-17
6,68-19
6,61-18
6,81-14
6,84-16
6,77-14
6,83-19
6,81-17
6,88-13
6,84-19
6,86-18
6,63-19
6,14+23
6,38+35
6,47-15
6,32-18
6,35-29
6,28-5
6,53-26
6,32-13
6,43-17
6,38-29
6,47-18
6,33-29
6,16+49
6,28+8
6,52-6
6,31-14
6,56-21
6,72-35
6,23-14
6,87-57
6,34-18
6,61-13
6,45-18
6,52-36
6,32-13
6,75-43
6,56-27
6,94-29
6,87-39
6,83-46
6,54-10
6,63-27
6,93-20
6,39-2
6,41-18
6,82-26
6,47-28
6,33-18
6,28-14
6,66-19
6,77-26
6,58-34
6,52-25
6,87-49
6,48-39
6,84-66
6,32-19
6,38-19
6,65-32
6,50-12
6,23-4
6,70-38
6,52-17
6,41-24
6,58-16
6,60-13
6,52-47
6,72-46
6,37-6
6,74-46
6,90-18
6,34-8
6,45-17
6,42-29
6,54-23
6,78-43
6,60-26
6,85-37
6,50-18
6,43-17
6,75-18
6,22-6
6,60-35
6,42-34
6,35-15
6,43-26
6,73-47
6,54-13
6,14-7
6,36+25
6,37-4
6,48-24
6,85-24
6,63-19
6,62-37
6,51-27
6,76-3
6,95-48
6,49-8
6,85-47
6,63-23
6,51-23
6,60-15
6,94-58
6,47-20
6,35-9
6,78-10
6,54-38
6,92-39
6,87-28
6,35-19
6,47-23
6,55-28
6,43-17
6,50-16
6,41+19
6,45-13
6,36-27
6,56-49
6,64-58
6,33-28
6,45-37
6,58-49
6,36-29
6,43-38
6,82-75
6,90-82
6,35+19
6,33-14
6,46+24
6,34+5
6,65-24
6,16-9
6,46-39
6,58-13
6,47+15
6,52-48
6,42-8
6,53-16
6,33-19
6,55-28
6,32-12
6,90-62
6,62-25
6,54+25
6,35+18
6,82+67
6,29+81
6,321+457
6,744+162
6,254+536
6,374+518
6,425+232
6,849+123
6,539+247
6,518+221
6,438+142
6,218+145
6,664+223
6,328+134
6,445+23
6,526+103
6,348+19
6,628+347
6,235+257
6,562+329
6,147+125
6,148+234
6,321+318
6,414+179
6,602+258
6,136+212
6,435+146
6,436+306
6,82+59
6,26+7
6,347+291
6,165+354
6,538+140
6,156+42
6,764+153
6,372+185
6,224+157
6,314+435
6,753+152
6,760+178
6,216+346
6,423+285
6,187+232
6,322+356
6,285+531
6,445+34
6,620+288
6,557+180
6,362+265
6,472+255
6,144+284
6,56+38
6,326+139
6,82-34
6,40+20
6,200+700
6,70+30
6,500+300
6,600+300
6,184+329
6,546+278
6,327+353
6,234+152
6,375+272
6,189+623
6,574+281
6,416+483
6,346+597
6,365+283
6,647+109
6,546+356
6,348+631
6,455+139
6,563+245
6,567+324
6,248+346
6,637+264
6,391+537
6,547+435
6,367+284
6,485+456
6,187+306
6,647+128
6,523+174
6,348+272
6,123+217
6,54-8
6,356+174
6,22+16
6,431-326
6,658-237
6,728-107
6,452-216
6,965-238
6,489-149
6,774-236
6,551-113
6,489-273
6,772-254
6,346-127
6,568-226
6,45-7
6,478-356
6,814-263
6,629-482
6,936-173
6,435-192
6,387-47
6,588-450
6,345-263
6,727-256
6,967-153
6,639-472
6,448-363
6,538-135
6,218-126
6,52-15
6,47+26
6,50-20
6,600-400
6,80-30
6,900-300
6,90-40
6,700-500
6,70-60
6,800-300
6,421-138
6,274-182
6,546-267
6,859-57
6,747-159
6,938-370
6,342-138
6,463-281
6,855-497
6,657-384
6,521-146
6,758-537
6,542-168
6,823-673
6,947-579
6,843-270
6,816-345
6,932-163
6,796-468
6,349-187
6,336-178
6,246+533
6,38-14
6,17-9
6,308-259
6,755-438
6,801-375
6,563-182
6,904-568
6,705-231
6,603-328
6,442-238
6,901-675
6,702-426
6,684-219
6,479-137
6,806-345
6,902-783
6,794-268
6,687-144
6,505-167
6,307-154
6,301-187
6,406-268
6,35+79
6,229+313
6,12-7
6,61-27
6,38+24
6,13-5
6,548+436
6,14+65
6,327+145
6,11-3
6,87+45
6,59-15
6,11-2
6,18-9
6,15-7
6,15+0
6,43+28
6,38+56
6,63+27
6,26+53
6,34+18
6,22+49
6,116+203
6,18+57
6,36+28
6,52+19
6,122+306
6,36+88
6,142+436
6,459+213
6,291+420
6,654+243
6,435+312
6,163+205
6,163+205
6,543+215
6,213+328
6,372+431
6,152+304
6,268+351
6,413+257
6,495+312
6,518+372
6,731+207
6,495+254
6,563+48
6,251+345
6,479+395
6,686+314
6,253+376
6,654+263
6,182+321
6,701+108
6,519+347
6,323+151
6,169+354
6,127+290
6,258+565
6,311+298
6,534+256
6,46+14
6,39+243
6,326+402
6,356+442
6,164+230
6,545+139
6,437+184
6,440-390
6,585+346
6,36-10
6,423-100
6,400-100
6,50-30
6,56-38
6,435-121
6,93-28
6,51-12
6,76-23
6,631-258
6,894-583
6,521-301
6,918-427
6,386-123
6,519-205
6,456-217
6,642-159
6,242-220
6,870-492
6,654-263
6,937-618
6,568-276
6,761-435
6,829-765
6,974-285
6,523-141
6,738-227
6,651-376
6,815-281
6,627-253
6,862-419
6,726-148
6,543-358
6,851-448
6,595-286
6,728-515
6,543-307
6,600-453
6,438-257
6,706-681
6,839-754
6,916-558
6,457-364
6,652-341
6,700-648
6,963-256
6,335-218
6,615-342
6,508-113
6,716-229
6,826-617
6,900-158
6,607-568
6,973-869
6,352-148
6,12-4
6,11-7
6,490+234
6,14+0
6,650-189
6,642+259
6,460-309
6,632-274
6,1*28
6,0*46
6,36*0
6,14+14
6,527+154
6,568-283
6,400-296
6,622+186
6,472+186
6,219+763
6,652-99
6,317+151
6,28+4
6,7*30
6,2*90
6,8*40
6,4*60
6,80*9
6,70*7
6,90*4
6,60*8
6,2*70
6,8*50
6,3*90
6,2*80
6,80*3
6,60*9
6,90*8
6,80*8
6,6*70
6,9*90
6,70*8
6,90*7
6,60*3
6,60*5
6,80*3
6,50*2
6,60*7
6,70*4
6,6*90
6,9*70
6,8*90
6,6*80
6,30-10
6,20-10
6,598+231
6,509-175
6,458-267
6,27+34
6,95+46
6,84-27
6,72931+18563
6,432068+239576
6,64505+38972
6,839136+120193
6,186231+88941
6,744201+168900
6,73404+27865
6,403446+396755
6,137638+52091
6,200629+28542
6,212514+396705
6,14659-11584
6,456912-37800
6,407001-184652
6,942385-461803
6,798300-348659
6,300980-159000
6,653809-256034
6,258197-64500
6,496004-398450
6,500000-145609
6,428731-175842
6,920026-535722
6,253495-48617
6,7*6000
6,4*80
6,3*500
6,9*60
6,8*200
6,5*6000
6,7*800
6,8*90
6,6*3000
6,3*8000
6,5*500
6,9*4000
6,7*20
6,7*2000
6,3*13
6,5*14
6,7*12
6,5*16
6,9*13
6,4*14
6,5*13
6,4*59
6,3*288
6,4*21
6,6*35
6,8*43
6,6*532
6,5*923
6,190*3
6,471*4
6,3439*7
6,53*4
6,473*9
6,608*6
6,2*78
6,2*210
6,9*682
6,8*8145
6,640*3
6,149*5
6,721*8
6,293*4
6,416*8
6,961*2
6,837*9
6,75*5
6,12*6
6,28*3
6,43*6
6,5*64
6,3*272
6,5*420
6,6*298
6,14*50
6,32*25
6,16*400
6,3*199
6,3*1021
6,6*407
6,8*604
6,50*28
6,7*68
6,2*36
6,42*4
6,32*2
6,81*5
6,63*7
6,33*2
6,25*3
6,36*8
6,94*5
6,3*82
6,9*41
6,6*75
6,7*23
6,8*54
6,32*8
6,55*2
6,61*8
6,37*9
6,18*7
6,83*5
6,95*8
6,1299*2
6,619*2
6,699*2
6,484*2
6,3836-2366
6,603*4
6,1935*7
6,8326*5
6,3316*8
6,2900*7
6,4123*6
6,5339*6
6,879*8
6,3182*5
6,4616*3
6,2854*9
6,7500*2
6,948*7
6,4*384
6,4*5384
6,28*3
6,56*6
6,71*5
6,69*8
6,36*4
6,72*4
6,456*5
6,804*7
6,1341*9
6,65*6
6,392*8
6,1478*3
6,1627*2
6,584*7
6,2837*4
6,12*40
6,20*27
6,10*12
6,20*20
6,40*24
6,11*60
6,70*55
6,17*30
6,30*60
6,12*90
6,80*22
6,30*52
6,60*20
6,10*20
6,5*20
6,14*16
6,23*25
6,18*34
6,22*26
6,12*12
6,31*24
6,25*43
6,37*26
6,54*15
6,87*16
6,62*56
6,49*63
6,38*47
6,46*27
6,72*53
6,98*69
6,53*68
6,76*84
6,92*48
6,37*79
6,56*32
6,87*64
6,33*25
6,94*12
6,51*77
6,69*49
6,35*10
6,19*20
6,12*80
6,70*50
6,58*40
6,30*40
6,14*60
6,20*30
6,16*90
6,81*38
6,16*59
6,43*25
6,76*45
6,65*79
6,92*38
6,37*31
6,26*59
6,54*26
6,52*87
6,39*27
6,63*58
6,0+1620
6,68*53
6,61*54
6,90*27
6,30*47
6,78*56
6,27*25
6,34*65
6,42*13
6,60*17
6,62*45
6,57*98
6,73*28
6,48*38
6,59*52
6,125+250
6,57*43
6,54*29
6,36*14
6,63*42
6,84*53
6,71*13
6,29*82
6,57*79
6,80*27
6,32*75
6,55*48
6,19*82
6,25*25
6,41*98
6,30*15
6,67*85
6,68*38
6,95*17
6,49*54
6,91*26
6,82*19
6,13094+259728
6,840-832
6,32*17
6,36*28
6,626-8
6,744-36
6,5413-2037
6,8681-422
6,13*8
6,14*8
6,30*4
6,40*4
6,50*4
6,11*6
6,12*6
6,15*4
6,0.25+0.40
6,0.16+0.45
6,0.08+0.88
6,0.55+0.23
6,0.19+0.13
6,0.25+0.34
6,9*1000
6,5*1000
6,78*6
6,29*7
6,42*5
6,57*9
6,24+16
6,4*16
6,9*52
6,3*78
6,8*51
6,6*107
6,4*100
6,7*1000
6,2*1000
6,6*10000
6,4*100
6,7*1000
6,30*4000
6,6*100
6,4*10000
6,70*300
6,608*8
6,556*4
6,1925*7
6,116*3
6,338*4
6,6*219
6,7*456
6,1374*6
6,726*5
6,4*979
6,503*7
6,5*4257
6,6018*9
6,758*6
6,3*697
6,2141*8
6,7*7956
6,24*15
6,37*63
6,384*45
6,28*22
6,93*76
6,5271*129
6,54*31
6,42*26
6,38*64
6,63*16
6,204*41
6,534*25
6,722*39
6,957*243
6,92*68
6,1537*242
6,23*67
6,309*29
6,612*87
6,321*4
6,518*7
6,4092*6
6,8264*9
6,0.9+0.7
6,0.65+0.73
6,1.3+0.7
6,2.72+0.51
6,0.15+0.36
6,0.8+0.7
6,0.35+0.64
6,0.54+0.12
6,0.51+0.28
6,3.41-1.74
6,0.84-0.57
6,4.05-1.61
6,1.37-0.52
6,0.45-0.24
6,0.92-0.51
6,4.1-2.7
6,3.12-2.52
6,3.6-1.8
6,2.46+0.78
6,3.27-1.84
6,2.5+4.6
6,8.75+6.43
6,2.03+7.89
6,6.34+3.8
6,5.63+2.6
6,7.99+8.34
6,15.76+8.2
6,9.6+5.49
6,33.5+16.4
6,9.84+21.52
6,3.89+4.6
6,42.19+8.8
6,16.74+5.34
6,27.58+83.9
6,4.23+6.51
6,6.8+4.2
6,2.7+5.37
6,6.8+4.4
6,6.87+5.18
6,3.14+2.9
6,16.18+5.94
6,5.83-2.18
6,4.45-1.86
6,4.03-2.25
6,0.70-0.43
6,13.2-8.04
6,15.8-9.67
6,8.42-5.14
6,16.46-13.87
6,34.27-17.51
6,15.83-11.45
6,12.74-10.54
6,48.21-13.65
6,4.23-2.51
6,8.6-5.1
6,2.71-1.34
6,16.3-4.4
6,12.56-5.18
6,11.63-6.7
6,5.24-2.14
6,284*36
6,8.31-7.44
6,4.19+0.58
6,9.99-4.1
6,28.6-9.84
6,15.79+32.81
6,38.44-25.86
6,18.39+7.56
6,8.22-4.39
6,93.6-79.84
6,27.96-16.2
6,12.63+15.04
6,9.24-2.68
6,18-3.55
6,9.73-2.52
6,54.78+43.62
6,6.37-4.98
6,14.87+3.65
6,60.12-14.05
6,2.72+9.48
6,16.85+83.4
6,13.60-8.74
6,6.43+0.89
6,321*4
6,387*5
6,126*13
6,457*35
6,1*4.78
6,10*4.78
6,100*4.78
6,1000*4.78
6,38*1
6,38*0.1
6,38*0.01
6,1000*17.04
6,1*3.19
6,10*3.19
6,100*3.19
6,1000*3.19
6,45.6*1
6,45.6*10
6,45.6*100
6,45.6*1000
6,1*6391
6,0.1*6391
6,0.01*6391
6,1*30
6,0.1*30
6,0.01*30
6,1*0.23
6,10*0.23
6,100*0.23
6,1000*0.23
6,390*1
6,390*0.1
6,390*0.01
6,0.1*5
6,0.01*5
6,1*9670
6,0.1*9670
6,0.01*9670
6,874*1
6,874*10
6,874*100
6,874*1000
6,100*10
6,1000*10
6,1*49.32
6,10*49.32
6,100*49.32
6,1000*49.32
6,2*0.38
6,4*0.24
6,3*0.62
6,4*0.32
6,3*0.27
6,2*0.45
6,2*0.8
6,2*0.67
6,5*0.71
6,4*0.23
6,6.32*3
6,4.5*8
6,40.7*5
6,4.93*7
6,8.2*6
6,7.55*8
6,8*7.2
6,3*1.45
6,9*8.6
6,6*0.79
6,4*9.3
6,7*0.81
6,6*2.08
6,5*23.66
6,9.8*6
6,13.02*5
6,8.42*9
6,14.05*7
6,23.82*5
6,4*9.3
6,3*7.9
6,5*42.89
6,8*2.6
6,6*0.92
6,9*1.04
6,7*2.18
6,3*19.54
6,52*0.35
6,16*9.18
6,27*8.3
6,18*8.7
6,23*56.1
6,47*5.92
6,71*8.3
6,28*0.19
6,84*0.24
6,13*0.53
6,27*89.5
6,32*12.71
6,17*0.52
6,23*59.8
6,61*15.98
6,1*3.6
6,10*3.6
6,100*3.6
6,1000*3.6
6,1*17.55
6,10*17.55
6,100*17.55
6,1000*17.55
6,1*29
6,0.1*29
6,0.01*29
6,3.14*8
6,17*0.67
6,29*7.3
6,0.1*0.7
6,0.4*1.6
6,0.3*0.4
6,0.9*0.6
6,0.5*1.2
6,0.3*0.5
6,0.2*0.6
6,0.2*0.8
6,0.5*1.7
6,0.6*0.7
6,0.8*0.5
6,0.4*1.9
6,7.9*3.4
6,9.2*5.6
6,3.45*9.7
6,45.3*0.8
6,6.98*2.5
6,7.02*3.4
6,3.4*5.2
6,0.9*2.46
6,9.1*5.7
6,4.8*6.01
6,7.6*18.7
6,1.5*9.34
6,0.77*14.9
6,3.3*58.14
6,7.3*9.6
6,46.3*0.8
6,29.5*1.3
6,3.76*4.8
6,9.07*6.5
6,0.42*75.3
6,5.6*61.84
6,7.5*18.74
6,0.9*53.8
6,1000*37.2
6,0.2*0.05
6,0.05*0.8
6,0.09*0.7
6,0.2*0.1
6,0.3*0.3
6,0.05*0.3
6,0.02*0.4
6,0.40*0.1
6,0.3*0.1
6,0.05*0.8
6,0.08*0.3
6,0.06*0.7
6,0.2*0.4
6,0.05*0.4
6,0.08*0.8
6,0.90*0.1
6,0.02*0.3
6,0.09*0.5
6,0.05*0.2
6,0.5*0.3
6,0.3*3.7
6,7*63
6,54.38+29.7
6,100*5.98
6,1000*5.98
6,8*15
6,6*17
6,27+18
6,120+36
6,9+35
6,36+45
6,75+90
6,56+64
6,48+14
6,30+54
6,24+40
6,55+66
6,49+63
6,40+25
6,63+15
6,32+20
6,18+27
6,15+45
6,9+27
6,10*11
6,9*11
6,11*12
6,0.49*10
6,25.34*1000
6,87*100
6,0.17+0.49
6,0.24+0.71
6,0.08+0.65
6,0.42+0.27
6,0.61+0.329
6,3.25+4.6
6,17.27+3.88
6,0.72+0.19
6,0.38+0.4
6,54.87+7.48
6,55+7
6,2.19+34.92
6,0.215+3.74
6,9.73-7.16
6,18.419-6.47
6,5.006-3.2
6,17.2+12.9
6,28.341+37.5
6,25.36-2.004
6,15.52-8.17
6,25.68+12
6,150.26-78
6,28.6-0.975
6,5.6-0.105
6,7.03+33.006
6,18.419-6.47
6,83-12.76
6,102.01-95.602
6,0.3*0.5
6,3.2*2.1
6,9.76*0.46
6,11.49*8.27
6,0.4*0.7
6,1.1*2.4
6,0.18*0.06
6,35.15*3.7
6,0.96*0.12
6,62.19*32.5
6,3.4*4.37
6,3.762*0.66
6,0.07*1.22
6,4.7*2.65
6,12.24+3.9
6,0.986+0.342
6,2.479+0.31
6,6.19-3.05
6,7.285-0.975
6,14.31-13.41
6,12*0.4
6,0.15*9.1
6,3.12*0.25
6,20*0.25
6,0.3*16.99
6,0.2*75
6,5.5*1.1
6,11.99*0.8
6,7.25*0.5
6,4*0.75
6,0.15*12.50
6,6.5*0.7
6,992*16
6,578*27
6,839*65
6,367*23
6,13*12
